"panel","construct","group","r2_orig","r2_repro_2dp","r2","n","n_orig","diff","match_2dp","within_01"
"1990-92","Egalitarianism","Full",0.24,0.24,0.236185464284678,628,NA,0,TRUE,TRUE
"1990-92","Egalitarianism","Lowest",0.14,0.14,0.141448913959068,114,NA,0,TRUE,TRUE
"1990-92","Egalitarianism","Middle",0.26,0.14,0.137295206103347,241,NA,-0.12,FALSE,FALSE
"1990-92","Egalitarianism","High",0.32,0.32,0.324856687049274,188,NA,0,TRUE,TRUE
"1990-92","Egalitarianism","Highest",0.38,0.38,0.375522037919418,85,NA,0,TRUE,TRUE
"1990-92","Moral Traditionalism","Full",0.34,0.34,0.343956548282978,617,NA,0,TRUE,TRUE
"1990-92","Moral Traditionalism","Lowest",0.13,0.13,0.133577618842066,114,NA,0,TRUE,TRUE
"1990-92","Moral Traditionalism","Middle",0.26,0.26,0.257859153170148,233,NA,0,TRUE,TRUE
"1990-92","Moral Traditionalism","High",0.4,0.4,0.396006977988491,187,NA,0,TRUE,TRUE
"1990-92","Moral Traditionalism","Highest",0.55,0.55,0.550506084593134,83,NA,0,TRUE,TRUE
"1990-92","Policy Views","Full",0.32,0.32,0.323132363207142,1356,1359,0,TRUE,TRUE
"1990-92","Policy Views","Lowest",0.13,0.13,0.134640668003886,247,NA,0,TRUE,TRUE
"1990-92","Policy Views","Middle",0.28,0.28,0.281849815138782,527,NA,0,TRUE,TRUE
"1990-92","Policy Views","High",0.4,0.4,0.399074734220495,395,NA,0,TRUE,TRUE
"1990-92","Policy Views","Highest",0.51,0.51,0.508792423407305,187,NA,0,TRUE,TRUE
"1990-92","Ideology ID","Full",0.29,0.29,0.287359341525511,1355,1359,0,TRUE,TRUE
"1990-92","Ideology ID","Lowest",0.05,0.05,0.0463551864158087,247,NA,0,TRUE,TRUE
"1990-92","Ideology ID","Middle",0.2,0.2,0.19930165153433,528,NA,0,TRUE,TRUE
"1990-92","Ideology ID","High",0.33,0.33,0.33484426485098,394,NA,0,TRUE,TRUE
"1990-92","Ideology ID","Highest",0.6,0.6,0.599076760756188,186,NA,0,TRUE,TRUE
"1990-92","Partisanship","Full",0.61,0.61,0.614043615639235,1316,1334,0,TRUE,TRUE
"1990-92","Partisanship","Lowest",0.44,0.46,0.457944163024367,215,NA,0.02,FALSE,FALSE
"1990-92","Partisanship","Middle",0.59,0.59,0.591412502536971,522,NA,0,TRUE,TRUE
"1990-92","Partisanship","High",0.66,0.66,0.659970238726938,393,NA,0,TRUE,TRUE
"1990-92","Partisanship","Highest",0.73,0.73,0.725556306697096,186,NA,0,TRUE,TRUE
"1992-96","Egalitarianism","Full",0.31,0.35,0.348351378482114,543,NA,0.04,FALSE,FALSE
"1992-96","Egalitarianism","Lowest",0.18,0.23,0.23265590660945,79,NA,0.05,FALSE,FALSE
"1992-96","Egalitarianism","Middle",0.28,0.31,0.306425259395754,172,NA,0.03,FALSE,FALSE
"1992-96","Egalitarianism","High",0.3,0.43,0.4296235360093,189,NA,0.13,FALSE,FALSE
"1992-96","Egalitarianism","Highest",0.3,0.34,0.339877999730612,103,NA,0.04,FALSE,FALSE
"1992-96","Moral Traditionalism","Full",0.37,0.36,0.360916096521938,542,NA,-0.01,FALSE,TRUE
"1992-96","Moral Traditionalism","Lowest",0.16,0.12,0.121946302746805,78,NA,-0.04,FALSE,FALSE
"1992-96","Moral Traditionalism","Middle",0.42,0.41,0.40856081742296,172,NA,-0.01,FALSE,TRUE
"1992-96","Moral Traditionalism","High",0.46,0.38,0.384296436162707,189,NA,-0.08,FALSE,FALSE
"1992-96","Moral Traditionalism","Highest",0.37,0.39,0.392256333419099,103,NA,0.02,FALSE,FALSE
"1992-96","Policy Views","Full",0.42,0.42,0.415959814178978,597,NA,0,TRUE,TRUE
"1992-96","Policy Views","Lowest",0.26,0.25,0.254483020172388,97,NA,-0.01,FALSE,TRUE
"1992-96","Policy Views","Middle",0.39,0.38,0.381435592589632,181,NA,-0.01,FALSE,TRUE
"1992-96","Policy Views","High",0.38,0.39,0.386642605861466,206,NA,0.01,FALSE,TRUE
"1992-96","Policy Views","Highest",0.62,0.62,0.622779044771192,113,NA,0,TRUE,TRUE
"1992-96","Ideology ID","Full",0.37,0.37,0.371670591609167,596,NA,0,TRUE,TRUE
"1992-96","Ideology ID","Lowest",0.03,0.03,0.0278263361174785,97,NA,0,TRUE,TRUE
"1992-96","Ideology ID","Middle",0.26,0.26,0.256451007885055,180,NA,0,TRUE,TRUE
